ítem,Descripción,Unidad,RCMI 110 10,RCMI 110 10 CS,RCMI 110 10 CD,RCMI 110 20,RCMI 110 20 CS,RCMI 110 20 CD,RCMI 110 30,RCMI 110 30 CS,RCMI 110 30 CD,RCMI 48 10,RCMI 48 10 CS,RCMI 48 10 CD,RCMI 48 20,RCMI 48 20 CS,RCMI 48 20 CD,RCMI 48 30,RCMI 48 30 CS,RCMI 48 30 CD,RCMI 24 10,RCMI 24 10 CS,RCMI 24 10 CD,RCMI 24 20,RCMI 24 20 CS,RCMI 24 20 CD,RCMI 24 30,RCMI 24 30 CS,RCMI 24 30 CD
3.5.4,-Tipo Interruptor de acometida / calibre (A),-,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P
3.5.5,-Potencia del Transformador de entrada,kVA,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido,Incluido
3.5.5.1,--Corriente de conexión del transformador,veces In,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Salida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Tensión Nominal,Vcc,110,110,110,110,110,110,110,110,110,48,48,48,48,48,48,48,48,48,24,24,24,24,24,24,24,24,24
4.2,Corriente Nominal de Salida,A,10,10,10,20,20,20,30,30,30,10,10,10,20,20,20,30,30,30,10,10,10,20,20,20,30,30,30
4.3,Máxima corriente a consumos,A,10,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensión de Flote (rango de ajuste),Vcc,55-143,55-143,55-143,55-143,55-143,55-143,55-143,55-143,55-143,24-62.4,24-62.4,24-62.4,24-62.4,24-62.4,24-62.4,24-62.4,24-62.4,24-62.4,12-31.2,12-31.2,12-31.2,12-31.2,12-31.2,12-31.2,12-31.2,12-31.2,12-31.2
5.1,Estabilización de la tensión de flote,%,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1,±1
5.2,Tensión de Fondo (rango de ajuste),Vcc,88-165,88-165,88-165,88-165,88-165,88-165,88-165,88-165,88-165,38.4-72,38.4-72,38.4-72,38.4-72,38.4-72,38.4-72,38.4-72,38.4-72,38.4-72,19.2-36,19.2-36,19.2-36,19.2-36,19.2-36,19.2-36,19.2-36,19.2-36,19.2-36
5.3,Modos de Carga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3.1,-Manual/Automático,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
5.3.2,-Fondo/Flote,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
