ítem,Descripción,Unidad,RCMI 110 10,RCMI 110 10 CS,RCMI 110 10 CD,RCMI 110 20,RCMI 110 20 CS,RCMI 110 20 CD,RCMI 110 30,RCMI 110 30 CS,RCMI 110 30 CD,RCMI 48 10,RCMI 48 10 CS,RCMI 48 10 CD,RCMI 48 20,RCMI 48 20 CS,RCMI 48 20 CD,RCMI 48 30,RCMI 48 30 CS,RCMI 48 30 CD,RCMI 24 10,RCMI 24 10 CS,RCMI 24 10 CD,RCMI 24 20,RCMI 24 20 CS,RCMI 24 20 CD,RCMI 24 30,RCMI 24 30 CS,RCMI 24 30 CD
11.7,Corriente de carga a baterías,-,Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital)
11.8,Tensión salida rectificador,-,Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital)
11.9,Tensión de baterías,-,Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital)
11.10,Tensión de consumos,-,Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital)
11.11,Corriente de descarga de baterías,-,Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital),Sí (medición digital)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Características, Accesorios y Auxiliares",,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.1,"Panel de control (ajuste, configuración, etc)",-,Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores),Sí (Display LCD 20x4 + 4 pulsadores)
12.2,Resistencias calefactoras,-,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional
12.2.1,-Tensión de alimentación,Vca,220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica),220 (si aplica)
12.2.2,-Potencia,W,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad,Según necesidad
12.2.3,-Llave termomagnética independiente - Alimentación interna / externa,-,Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica),Interna (si aplica)
12.3,Cables de potencia y auxiliares,-,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma,Incluidos según norma
12.3.1,-Tensión de aislación,-,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V,750V - 1000V
12.3.2,-Material,-,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre,Cobre
12.3.3,-Baja emisión de halógenos,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
12.4,Bornes de reserva,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
12.5,Nivel de ruido a 1 metro y 100% de carga,dB,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60,<60
12.6,Placas de identificación,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
12.7,Chapa de características,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Inspecciones y Ensayos de rutina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1,Medida de la resistencia de aislación,-,Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ),Sí (>500 MΩ)
13.2,"Ensayo dieléctrico (a los circuitos de potencia se les aplica una tensión de 2.500V, y a los circuitos de control y auxiliares una tensión de 2.000V, exceptuando los circuitos electrónicos)",-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.3,Medida de resistencia de aislación después del ensayo anterior,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.4,Funcionamiento de los elementos mecánicos y efectividad de los enclavamientos,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.5,Medida de la tolerancia de la tensión de salida,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.6,Comprobación del nivel de rizado,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.7,"Ensayo eléctrico de verificación de los valores de salida en diferentes condiciones de carga y el correcto funcionamiento de todos los circuitos de control, enclavamiento, señalización y protección",-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.8,"Verificación de que las tensiones de flotación, carga rápida y carga excepcional coinciden con lo indicado en la oferta",-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.9,Comprobación de que la tensión en la salida del cargador no varía para los límites de la tensión de alimentación especificados,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.10,Ídem al variar la carga de 0 al 100%,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.11,Verificación de la carga de la batería,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.12,Medida del contenido de armónicos en la alimentación,-,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible,Disponible
13.13,"Ensayo a plena carga (hasta alcanzar un comportamiento estable, al menos de 48 horas)",-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.14,Ensayo de rendimiento,-,Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%),Sí (≥85%)
13.15,Ensayo de reparto de intensidades (para cargadores en paralelo),-,N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple),N/A (unidad simple)
13.16,Prueba de señalización y alarma,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.17,Prueba funcional en todas las condiciones de operación posibles,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
13.18,Prueba de capacidad de suministro de corriente de cortocircuito suficiente para apertura de mayor interruptor de salida,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Garantía,meses,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
